no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,course_name,year,semester
52,52,8,Y(Y),6,N,Y,0.8285,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
53,53,8,Y(Y),6,N,Y,0.8071,1,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
54,54,8,Y(Y),6,N,Y,0.523,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
55,55,7,Y(Y),6,Y,Y,0.8785,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
56,56,7,Y(Y),6,N,Y,0.7153,1,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
57,57,7,Y(Y),6,N,Y,0.5923,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
58,58,7,Y(Y),6,N,Y,0.5538,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
59,59,6,Y(Y),6,Y,Y,1,0.8333,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
60,60,6,Y(Y),6,N,Y,0.675,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
61,61,6,Y(Y),6,N,Y,0.6,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
62,62,6,Y(Y),6,N,Y,0.5846,0.8157,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
63,63,5,Y(Y),6,N,Y,0.6615,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
64,64,5,Y(Y),6,N,Y,0.5785,0.7894,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
65,65,5,Y(Y),6,N,Y,0.3846,0.6315,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
66,66,4,Y(Y),6,N,Y,0.8076,0.8333,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
67,67,4,Y(Y),6,N,Y,0.7642,0.9473,4,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
68,68,4,Y(Y),6,N,Y,0.5692,0.9736,3,Y,N,CAS4109-01,COMPUTER SECURITY,2026,1
