no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
28,26,36,N(N),3,N,Y,0.5753,1,2,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
29,27,35,Y(Y),6,N,Y,0.6846,0.8888,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
30,28,35,Y(N),5,N,Y,0.7111,0.9473,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
31,29,33,Y(Y),6,N,Y,0.5428,0.9736,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
32,30,32,Y(Y),6,N,Y,0.5769,1,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
33,31,31,Y(Y),6,N,Y,0.4423,0.6315,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
34,32,30,Y(Y),6,Y,Y,1,1,4,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
35,33,30,Y(Y),6,N,Y,0.573,0.9736,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
36,34,28,Y(Y),6,N,Y,0.85,0.9473,4,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
37,35,28,Y(Y),6,N,Y,0.7461,0.9736,3,Y,N,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1,박광현,박광현,"월5,6,수6",75.0,60.0,22.13,122.0
