course_code_portal,course_name_portal,professor,lecture_time,classroom,capacity,major_quota,total_applicants,avg_mileage,course_code,scraped_code,course_name,year,semester
CCO2103-01-00,자료구조,안형찬,"수6,금5,6",공D504,90.0,63.0,65.0,16.74,CAS2103-03,CCO2103-01,DATA STRUCTURE,2024,1
CCO2103-02-00,자료구조,황성재,"화2,3,목4",공A428,90.0,63.0,185.0,25.81,CAS2103-03,CCO2103-02,DATA STRUCTURE,2024,1
CCO2103-01-00,자료구조,한요섭,"화2,3,목2",공D504,90.0,63.0,78.0,14.72,CAS2103-03,CCO2103-01,DATA STRUCTURE,2024,2
CAS2103-03-00,자료구조,김지응,"수5,금5,6",공D508,60.0,48.0,67.0,11.43,CAS2103-03,CAS2103-03,DATA STRUCTURE,2025,1
CAS2103-03-00,자료구조,김지응,"수5,금5,6",공D508,75.0,60.0,104.0,12.18,CAS2103-03,CAS2103-03,DATA STRUCTURE,2026,1
CSI2101-01-00,이산구조,이수경,"화3/수11,12",실시간온라인/동영상콘텐츠,80.0,56.0,145.0,18.98,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,1
CSI2101-01-00,이산구조,김영석,"화6,목6,7",공D504,95.0,68.0,111.0,20.55,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2022,2
CSI2101-01-00,이산구조,이수경,"화11,12/목4",동영상(중복수강불가)/공D504,60.0,42.0,157.0,17.92,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2023,1
CSI2101-02-00,이산구조,백종덕,"월8,수7,8",공D504,60.0,42.0,66.0,19.02,CAS2101-01,CSI2101-02,DISCRETE MATHEMATICS,2023,1
CSI2101-01-00,이산구조,김영석,"월8,수7,8",공D504,90.0,68.0,103.0,23.15,CAS2101-01,CSI2101-01,DISCRETE MATHEMATICS,2023,2
CCO2101-01-00,이산구조,이수경,"월5/목12,13",공D504/동영상(중복수강불가),90.0,63.0,124.0,20.43,CAS2101-01,CCO2101-01,DISCRETE MATHEMATICS,2024,1
CCO2101-02-00,이산구조,백종덕,"월8,수7,8",공A428,90.0,63.0,43.0,8.28,CAS2101-01,CCO2101-02,DISCRETE MATHEMATICS,2024,1
CCO2101-01-00,이산구조,김영석,"월8,9,수8",공D504,90.0,68.0,65.0,14.05,CAS2101-01,CCO2101-01,DISCRETE MATHEMATICS,2024,2
CAS2101-01-00,이산구조,이수경,"화7/목8,9",공D504/동영상(중복수강불가),80.0,64.0,119.0,20.39,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2025,1
CAS2101-01-00,이산구조,이종민,"수5,금5,6",공D504,95.0,76.0,61.0,13.2,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2025,2
CAS2101-01-00,이산구조,이진규,"화8,9,목7",공D508,75.0,60.0,76.0,6.7,CAS2101-01,CAS2101-01,DISCRETE MATHEMATICS,2026,1
CSI2101-01-00,이산구조,이수경,"화3/수11,12",실시간온라인/동영상콘텐츠,80.0,56.0,145.0,18.98,CAS2101-02,CSI2101-01,DISCRETE MATHEMATICS,2022,1
CSI2101-01-00,이산구조,김영석,"화6,목6,7",공D504,95.0,68.0,111.0,20.55,CAS2101-02,CSI2101-01,DISCRETE MATHEMATICS,2022,2
CSI2101-01-00,이산구조,이수경,"화11,12/목4",동영상(중복수강불가)/공D504,60.0,42.0,157.0,17.92,CAS2101-02,CSI2101-01,DISCRETE MATHEMATICS,2023,1
CSI2101-02-00,이산구조,백종덕,"월8,수7,8",공D504,60.0,42.0,66.0,19.02,CAS2101-02,CSI2101-02,DISCRETE MATHEMATICS,2023,1
CSI2101-01-00,이산구조,김영석,"월8,수7,8",공D504,90.0,68.0,103.0,23.15,CAS2101-02,CSI2101-01,DISCRETE MATHEMATICS,2023,2
CCO2101-01-00,이산구조,이수경,"월5/목12,13",공D504/동영상(중복수강불가),90.0,63.0,124.0,20.43,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,1
CCO2101-02-00,이산구조,백종덕,"월8,수7,8",공A428,90.0,63.0,43.0,8.28,CAS2101-02,CCO2101-02,DISCRETE MATHEMATICS,2024,1
CCO2101-01-00,이산구조,김영석,"월8,9,수8",공D504,90.0,68.0,65.0,14.05,CAS2101-02,CCO2101-01,DISCRETE MATHEMATICS,2024,2
CAS2101-02-00,이산구조,백종덕,"화7/목8,9",공학원170E/공B038,80.0,64.0,45.0,5.04,CAS2101-02,CAS2101-02,DISCRETE MATHEMATICS,2025,1
CAS2101-02-00,이산구조,이종민,"화8,9,목7",공D408,75.0,60.0,77.0,10.25,CAS2101-02,CAS2101-02,DISCRETE MATHEMATICS,2026,1
MAT2013-03-00,확률통계,최창열,"월4,5,목10",공D408,55.0,55.0,28.0,8.89,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2023,2
MAT2013-03-00,확률통계,이효윤,"월2,3,화2",공A690,60.0,60.0,49.0,9.69,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2024,1
MAT2013-03-00,확률통계,최창열,"월5,6,금6",공A690,60.0,60.0,15.0,4.4,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2024,2
MAT2013-03-00,확률통계,최창열,"월9,10,수10",공B038,80.0,80.0,65.0,5.49,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2025,1
MAT2013-03-00,확률통계,최창열,"월9,10,수10",공학원170E,80.0,80.0,65.0,6.78,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2025,2
MAT2013-03-00,확률통계,최창열,"월7,8,수8",공학원170E,80.0,80.0,104.0,11.51,MAT2013-03,MAT2013-03,PROBABILITY AND STATISTICS,2026,1
MAT2013-04-00,확률통계,김현정,"월9,목9,10",공A528,60.0,60.0,38.0,5.18,MAT2013-04,MAT2013-04,PROBABILITY AND STATISTICS,2024,1
MAT2013-04-00,확률통계,최창열,"월5,6,수6",공학원170E,80.0,80.0,87.0,13.48,MAT2013-04,MAT2013-04,PROBABILITY AND STATISTICS,2025,1
MAT2013-04-00,확률통계,김현정,"금1,2,3",공D408,80.0,80.0,52.0,3.81,MAT2013-04,MAT2013-04,PROBABILITY AND STATISTICS,2026,1
MAT2011-03-00,선형대수와그응용,김현정,"수1,2,금1",공A685,80.0,80.0,33.0,3.39,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,1
MAT2011-03-00,선형대수와그응용,김현정,"월1,2,3",공학원170E,80.0,80.0,47.0,4.47,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2023,2
MAT2011-03-00,선형대수와그응용,안수형,"화3,4,목2",공A685,80.0,80.0,12.0,5.75,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2024,1
MAT2011-03-00,선형대수와그응용,고형준,"화7,목7,8",공A528,60.0,60.0,50.0,7.22,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2024,2
MAT2011-03-00,선형대수와그응용,신안숙,"월3,4/수4",공B040/공D504,80.0,80.0,128.0,14.3,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2025,1
MAT2011-03-00,선형대수와그응용,김현정,"금1,2,3",공B038,80.0,80.0,43.0,4.26,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2025,2
MAT2011-03-00,선형대수와그응용,최창열,"월9,10,수10",공학원170E,80.0,80.0,151.0,16.84,MAT2011-03,MAT2011-03,LINEAR ALGEBRA AND ITS APPLICATIONS,2026,1
CSI2106-01-00,컴퓨터과학입문,최종현,"수8,금6,7",실시간온라인,60.0,36.0,152.0,14.84,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2022,1
CSI2106-01-00,컴퓨터과학입문,송도경,"수6/토3,4",공D408/동영상콘텐츠,64.0,64.0,114.0,18.05,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2022,2
CSI2106-01-00,컴퓨터과학입문,박상현,"화5/목10,11",과B131/동영상(중복수강불가),90.0,54.0,203.0,21.81,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2023,1
CSI2106-01-00,컴퓨터과학입문,송도경,"화5,목5,6",공학원170E,83.0,80.0,80.0,22.76,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2023,2
CSI2106-01-00,컴퓨터과학입문,박상현,"화5/금11,12",공D504/동영상(중복수강불가),90.0,54.0,164.0,24.09,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,1
CSI2106-01-00,컴퓨터과학입문,송도경,"화8,9,목9",공D504,90.0,90.0,86.0,18.7,CAS2106-01,CSI2106-01,INTRODUCTION TO COMPUTER SCIENCE,2024,2
CAS2106-01-00,컴퓨터과학입문,박상현,"화4/목12,13",공D504/동영상(중복수강불가),100.0,60.0,87.0,12.14,CAS2106-01,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2025,1
CAS2106-01-00,컴퓨터과학입문,송도경,"월8/수14,15",공D504/동영상콘텐츠,95.0,76.0,104.0,9.48,CAS2106-01,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2025,2
CAS2106-01-00,컴퓨터과학입문,박상현,"화7/목12,13",공D504/동영상콘텐츠,100.0,100.0,69.0,4.2,CAS2106-01,CAS2106-01,INTRODUCTION TO COMPUTER SCIENCE,2026,1
CSI2109-01-00,인터넷프로그래밍,이경호,"월2,수2,3",실시간온라인,90.0,75.0,69.0,8.29,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2022,1
CSI2109-01-00,인터넷프로그래밍,이경호,"월6,7/수11",공D504/동영상(중복수강불가),90.0,63.0,120.0,7.79,CAS2109-01,CSI2109-01,INTERNET PROGRAMMING,2023,1
CAS2109-01-00,인터넷프로그래밍,이경호,"화5,6/목11",공D504/동영상(중복수강불가),100.0,80.0,80.0,6.73,CAS2109-01,CAS2109-01,INTERNET PROGRAMMING,2025,1
CAS2109-01-00,인터넷프로그래밍,이경호,"화5,6/목11",공D504/동영상콘텐츠,100.0,80.0,39.0,4.41,CAS2109-01,CAS2109-01,INTERNET PROGRAMMING,2026,1
CSI3101-01-00,운영체제,차호정,"월8,수3,4",실시간온라인,140.0,120.0,161.0,17.49,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2022,1
CSI3101-01-00,운영체제,차호정,"월8,수7,8",과B133,150.0,130.0,190.0,13.77,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2023,1
CSI3101-01-00,운영체제,정진규,"수4,금2,3",과B130,150.0,130.0,176.0,18.98,CAS3101-02,CSI3101-01,OPERATING SYSTEM,2024,1
CAS3101-02-00,운영체제,정진규,"월7,8,수8",공학원170E,80.0,64.0,117.0,19.3,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2025,1
CAS3101-02-00,운영체제,정진규,"월7,8,수8",공B039,160.0,128.0,162.0,15.16,CAS3101-02,CAS3101-02,OPERATING SYSTEM,2026,1
CSI3102-01-00,컴퓨터아키텍쳐,이경우,"화2,3,목2",실시간온라인,90.0,63.0,79.0,16.04,CAS3102-01,CSI3102-01,ARCHITECTURE OF COMPUTERS,2022,1
